,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
151,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis
152,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama
153,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College
154,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University
155,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida
156,Al Attles*,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T
157,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State
158,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV
159,D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",Texas
160,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois
161,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State
162,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College
163,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University
164,Deni Avdija,2021,2022,G-F,6-9,210,"January 3, 2001",
165,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall
166,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine
167,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke
168,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara
169,Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga
170,Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",
171,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State
172,Deandre Ayton,2019,2022,C,6-11,250,"July 23, 1998",Arizona
173,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky
174,Udoka Azubuike,2021,2022,C,6-10,280,"September 17, 1999",Kansas
0,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State"
1,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",Nevada
2,Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University
3,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham
4,Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",Florida State
5,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",Louisville
6,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University
7,Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",
8,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College
9,Marvin Bagley III,2019,2022,F-C,6-11,235,"March 14, 1999",Duke
10,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University
11,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso
12,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University
13,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",NC State
14,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",UCLA
15,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico
16,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",Hawaii
17,Mark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State
18,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State
19,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",
20,Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State
21,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
22,Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt
23,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",South Carolina
24,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte
25,LaMelo Ball,2021,2022,G,6-7,180,"August 22, 2001",
26,Lonzo Ball,2018,2022,G,6-6,190,"October 27, 1997",UCLA
27,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",Oregon
28,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Penn State
29,Mo Bamba,2019,2022,C,7-0,231,"May 12, 1998",Texas
30,Desmond Bane,2021,2022,G,6-5,215,"June 25, 1998",TCU
31,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke
32,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981",UNLV
33,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky
34,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
35,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's
36,Dalano Banton,2022,2022,G-F,6-9,204,"November 7, 1999",Nebraska
37,Cat Barber,2022,2022,G,6-2,190,"July 25, 1994",NC State
38,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles"
39,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",
40,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",Illinois
41,J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University
42,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
43,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",Kentucky
44,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",Hawaii
45,Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn
46,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's
47,Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA
48,Harrison Barnes,2013,2022,F,6-8,225,"May 30, 1992",UNC
49,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University
50,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso
51,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence
52,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",UCLA
53,Scottie Barnes,2022,2022,G-F,6-9,227,"August 1, 2001",Florida State
54,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State
55,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon
56,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron
57,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State
58,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State
59,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame
60,John Barr,1947,1947,F,6-3,205,"August 18, 1918",Penn State
61,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne
62,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne
63,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall
64,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State
65,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech
66,RJ Barrett,2020,2022,G-F,6-6,214,"June 14, 2000",Duke
67,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis
68,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College
69,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State
70,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech
71,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech"
72,Rick Barry*,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL)
73,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",NC State
74,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State
75,Will Barton,2013,2022,G,6-6,181,"January 6, 1991",Memphis
76,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte
77,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple
78,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",LSU
79,Paris Bass,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy
80,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",Georgia
81,Charles Bassey,2022,2022,C,6-11,235,"October 28, 2000",Western Kentucky
82,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",Michigan
83,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",
84,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University
85,Keita Bates-Diop,2019,2022,F,6-8,229,"January 23, 1996",Ohio State
86,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",
87,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State
88,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech
89,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke
90,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University
91,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois"
92,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame
93,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",Cincinnati
94,Nicolas Batum,2009,2022,F-G,6-8,230,"December 14, 1988",
95,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple
96,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University
97,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",Maryland
98,Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",Arizona
99,Elgin Baylor*,1959,1972,F,6-5,225,"September 16, 1934","College of Idaho, Seattle University"
100,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",Tennessee
101,Aron Baynes,2013,2021,C,6-10,260,"December 9, 1986",Washington State
102,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",
103,Kent Bazemore,2013,2022,G-F,6-4,195,"July 1, 1989",Old Dominion
104,Darius Bazley,2020,2022,F,6-8,208,"June 12, 2000",
105,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia
106,Bradley Beal,2013,2022,G,6-4,207,"June 28, 1993",Florida
107,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State
108,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",Louisville
109,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",Kentucky
110,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",SMU
111,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota"
112,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M
113,Malik Beasley,2017,2022,G,6-4,187,"November 26, 1996",Florida State
114,Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State
115,Zelmo Beaty*,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University
116,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",
117,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",Denver
118,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas"
119,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",Penn
120,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State
121,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne
122,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford
123,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",Memphis
124,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University
125,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",Minnesota
126,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley
127,Marco Belinelli,2008,2020,G-F,6-5,220,"March 25, 1986",
128,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State
129,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University
130,Jordan Bell,2018,2022,F,6-8,216,"January 7, 1995",Oregon
131,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University"
132,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College
133,Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",NC State
134,Walt Bellamy*,1962,1975,C,6-11,225,"July 24, 1939",Indiana
135,DeAndre' Bembry,2017,2022,F,6-5,210,"July 4, 1994",Saint Joseph's
136,Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",Illinois
137,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University
138,Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",
139,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
140,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University"
141,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton
142,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State
143,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993",UNLV
144,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame
145,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State
146,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",Pitt
147,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State
148,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",Green Bay
149,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",Kentucky
150,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",Alabama
151,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland
152,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana
153,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence
154,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette
155,Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",Utah
156,Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State
157,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State"
158,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's
159,Dairis Bertāns,2019,2019,G,6-4,200,"September 9, 1989",
160,Dāvis Bertāns,2017,2022,F,6-10,225,"November 12, 1992",
161,Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania
162,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech
163,Patrick Beverley,2013,2022,G,6-1,180,"July 12, 1988",Arkansas
164,Saddiq Bey,2021,2022,F,6-7,215,"April 9, 1999",Villanova
165,Tyler Bey,2021,2021,F,6-7,215,"February 10, 1998",Colorado
166,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State
167,Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",UConn
168,Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green
169,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University
170,Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949",UCLA
171,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",Arizona
172,Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",NC State
173,Andris Biedriņš,2005,2014,C,6-11,240,"April 2, 1986",
